season,celebrity_name,pro_name,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,is_us,state_population_2020
22,Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,Eliminated Week 3,11,False,
22,Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,1st Place,1,True,20201249.0
22,Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,2nd Place,2,True,4237256.0
22,Von Miller,Witney Carson,Athlete,Texas,United States,27,Eliminated Week 7,7,True,29145505.0
22,Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,Eliminated Week 9,4,True,13002700.0
23,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,True,13002700.0
23,Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,Eliminated Week 4,11,True,6785528.0
23,Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,3rd Place,3,True,10711908.0
23,Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,Eliminated Week 2,13,True,20201249.0
23,James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,2nd Place,2,False,
23,Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,Eliminated Week 11,4,True,10077331.0
23,Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,1st Place,1,True,9288994.0
23,Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,Eliminated Week 9,6,True,12812508.0
23,Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,Eliminated Week 7,8,True,39538223.0
23,Rick Perry,Emma Slater,Politician,Texas,United States,66,Eliminated Week 3,12,True,29145505.0
23,Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,Eliminated Week 8,7,True,20201249.0
23,Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,Eliminated Week 10,5,True,29145505.0
23,Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,Eliminated Week 4,10,True,29145505.0
24,Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,Eliminated Week 8,5,True,29145505.0
24,Charo,Keo Motsepe,Actor/Actress,,Spain,66,Eliminated Week 3,11,False,
24,Chris Kattan,Witney Carson,Comedian,California,United States,46,Eliminated Week 2,12,True,39538223.0
24,David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,2nd Place,2,True,10711908.0
24,Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,Eliminated Week 5,9,True,10711908.0
24,Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,Eliminated Week 6,8,True,39538223.0
24,Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,Eliminated Week 4,10,True,12812508.0
24,Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,Eliminated Week 7,7,True,7029917.0
24,Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,Eliminated Week 7,6,True,5893718.0
24,Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,3rd Place,3,True,10711908.0
24,Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,1st Place,1,True,8631393.0
24,Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,Eliminated Week 9,4,True,11799448.0
25,Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,Eliminated Week 2,13,True,9288994.0
25,Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,Eliminated Week 2,12,True,20201249.0
25,Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,Eliminated Week 4,11,True,3011524.0
25,Drew Scott,Emma Slater,TV Personality,,Canada,39,Eliminated Week 10,4,False,
25,Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,3rd Place,3,True,9288994.0
25,Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,1st Place,1,True,5024279.0
25,Lindsey Stirling,Mark Ballas,Musician,California,United States,31,2nd Place,2,True,39538223.0
25,Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,Eliminated Week 6,9,True,4505836.0
25,Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,Eliminated Week 7,8,True,39538223.0
25,Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,Eliminated Week 5,10,False,
25,Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,Eliminated Week 8,6,True,5024279.0
25,Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,Eliminated Week 7,7,False,
25,Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,Eliminated Week 9,5,True,1377529.0
26,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,True,13002700.0
26,Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,Eliminated Week 2,7,True,5893718.0
26,Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,Eliminated Week 3,5,True,7029917.0
26,Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,Eliminated Week 1,10,True,39538223.0
26,Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,Eliminated Week 3,6,True,39538223.0
26,Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,Eliminated Week 1,9,True,2937880.0
26,Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,2nd Place,2,True,5118425.0
26,Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,Eliminated Week 2,8,True,20201249.0
26,Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,Eliminated Week 3,4,True,39538223.0
26,Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,3rd Place,3,True,4237256.0
27,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,True,39538223.0
27,Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,True,3011524.0
27,Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,Eliminated Week 2,12,True,2117522.0
27,DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,Eliminated Week 7,7,True,5024279.0
27,Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,3rd Place,3,False,
27,Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,Eliminated Week 8,6,True,12812508.0
27,John Schneider,Emma Slater,Actor/Actress,New York,United States,58,Eliminated Week 7,8,True,20201249.0
27,Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,Eliminated Week 8,5,False,
27,Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,Eliminated Week 6,9,True,1793716.0
27,Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,2nd Place,2,True,39538223.0
27,Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,Eliminated Week 3,11,True,20201249.0
27,Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,Eliminated Week 1,13,True,11799448.0
27,Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,Eliminated Week 4,10,True,4505836.0
28,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,True,29145505.0
28,Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,1st Place,1,True,5024279.0
28,James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,Eliminated Week 10,5,True,3605944.0
28,Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,Eliminated Week 7,8,True,29145505.0
28,Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,Eliminated Week 8,7,True,13002700.0
28,Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,2nd Place,2,True,12812508.0
28,Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,Eliminated Week 4,10,True,20201249.0
28,Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,4th Place,4,True,10711908.0
28,Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,Eliminated Week 2,12,True,3104614.0
28,Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,Withdrew,11,True,21538187.0
28,Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,Eliminated Week 6,9,True,20201249.0
28,Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,Eliminated Week 9,6,True,20201249.0
29,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,True,21538187.0
29,Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,Eliminated Week 4,13,True,11799448.0
29,Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,Eliminated Week 3,14,True,29145505.0
29,Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,Eliminated Week 2,15,True,11799448.0
29,Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,Eliminated Week 8,8,True,4505836.0
29,Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,Withdrew,9,True,39538223.0
29,Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,Eliminated Week 5,12,True,39538223.0
29,Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,Eliminated Week 10,6,True,13002700.0
29,Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,4th Place,4,True,12812508.0
29,Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,1st Place,1,False,
29,Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,Eliminated Week 7,10,True,5024279.0
29,Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,3rd Place,3,True,29145505.0
29,Nev Schulman,Jenna Johnson,Producer,New York,United States,35,2nd Place,2,True,20201249.0
29,Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,Eliminated Week 10,5,True,20201249.0
29,Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,Eliminated Week 6,11,True,689545.0
30,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,True,11799448.0
30,Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,Eliminated Week 4,13,True,39538223.0
30,Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,Eliminated Week 3,14,False,
30,Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,3rd Place,3,True,39538223.0
30,Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,1st Place,1,True,12812508.0
30,Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,Eliminated Week 8,7,True,989948.0
30,JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,2nd Place,2,True,1961504.0
30,Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,Eliminated Week 6,10,True,10077331.0
30,Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,Eliminated Week 2,15,True,20201249.0
30,Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,Eliminated Week 4,12,True,10439388.0
30,Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,Eliminated Week 5,11,False,
30,Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,Eliminated Week 9,6,True,29145505.0
30,"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,Eliminated Week 7,9,True,11799448.0
30,Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,Eliminated Week 8,8,True,39538223.0
30,Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,Eliminated Week 9,5,True,5706494.0
31,Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,1st Place,1,True,3605944.0
31,Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,Eliminated Week 3,14,True,886667.0
31,Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,Eliminated Week 9,5,True,10077331.0
31,Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,2nd Place,2,True,12812508.0
31,Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,Eliminated Week 8,8,True,4657757.0
31,Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,Eliminated Week 1,16,True,39538223.0
31,Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,Eliminated Week 6,10,False,
31,Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,Eliminated Week 7,9,True,7151502.0
31,Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,Eliminated Week 5,11,True,39538223.0
31,Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,Eliminated Week 4,13,True,4505836.0
31,Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,Withdrew,12,True,10077331.0
31,Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,4th Place,4,True,29145505.0
31,Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,Eliminated Week 2,15,True,9288994.0
31,Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,Eliminated Week 9,6,True,39538223.0
31,Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,Eliminated Week 8,7,True,20201249.0
31,Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,3rd Place,3,True,10711908.0
32,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,True,29145505.0
32,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,True,689545.0
32,Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,3rd Place,3,True,21538187.0
32,Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,Eliminated Week 8,7,True,39538223.0
32,Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,4th Place,4,True,10711908.0
32,Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,Eliminated Week 9,6,False,
32,Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,Eliminated Week 2,13,True,2961279.0
32,Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,2nd Place,2,True,8631393.0
32,Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,Eliminated Week 7,8,False,
32,Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,Eliminated Week 1,14,True,12812508.0
32,Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,Eliminated Week 6,9,False,
32,Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,Eliminated Week 5,10,True,20201249.0
32,Tyson Beckford,Jenna Johnson,Model,New York,United States,52,Eliminated Week 3,12,True,20201249.0
32,Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,1st Place,1,True,39538223.0
33,Anna Delvey,Ezra Sosa,Con artist,,Russia,33,Eliminated Week 2,12,False,
33,Brooks Nader,Gleb Savchenko,Model,New York,United States,27,Eliminated Week 4,9,True,20201249.0
33,Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,3rd Place,3,True,39538223.0
33,Danny Amendola,Witney Carson,Athlete,Texas,United States,39,5th Place,5,True,29145505.0
33,Dwight Howard ,Daniella Karagach,Athlete,Georgia,United States,38,Eliminated Week 7,6,True,10711908.0
33,Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,Eliminated Week 3,10,True,39538223.0
33,Ilona Maher,Alan Bersten,Athlete,California,United States,28,2nd Place,2,True,39538223.0
33,Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,Eliminated Week 6,7,True,21538187.0
33,Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,1st Place,1,True,4657757.0
33,Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,Eliminated Week 5,8,True,10711908.0
33,Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,Eliminated Week 3,10,True,20201249.0
33,Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,4th Place,4,True,21538187.0
33,Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,Eliminated Week 2,12,True,39538223.0
34,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,True,21538187.0
34,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,Eliminated Week 9,7,True,39538223.0
34,Baron Davis,Britt Stewart,Athlete,California,United States,46,Eliminated Week 2,13,True,39538223.0
34,Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,Eliminated Week 2,13,True,39538223.0
34,Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,Eliminated Week 8,8,True,39538223.0
34,Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,4th Place,4,True,39538223.0
34,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,5th Place,5,True,10711908.0
34,Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,Eliminated Week 4,11,True,20201249.0
34,Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,Eliminated Week 7,9,True,3271616.0
34,Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,3rd Place,3,True,29145505.0
34,Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,Eliminated Week 3,12,True,21538187.0
34,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,1st Place,1,False,
34,Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,Eliminated Week 6,10,True,39538223.0
34,Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,Eliminated Week 10,6,True,3271616.0
